epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3484.52,1.18159,0.69114,1.06298,0.81333,0.78324,0.82668,0.52239,1.32932,0.74967,1.13735,0.007987,0.007987,0.007987
63,3541.93,1.1784,0.67423,1.0572,0.82329,0.78619,0.82789,0.52625,1.32401,0.7519,1.14803,0.007954,0.007954,0.007954
64,3599.59,1.1702,0.68386,1.06545,0.79241,0.78633,0.82157,0.52344,1.3188,0.74308,1.14621,0.007921,0.007921,0.007921
65,3657.01,1.17424,0.68298,1.0564,0.79915,0.79674,0.82197,0.52285,1.31732,0.75618,1.13758,0.007888,0.007888,0.007888
66,3715.43,1.15922,0.66694,1.05285,0.82332,0.78732,0.82634,0.52465,1.31623,0.74385,1.14862,0.007855,0.007855,0.007855
67,3772.81,1.16641,0.66657,1.05514,0.8107,0.7726,0.82129,0.5216,1.33074,0.75477,1.15159,0.007822,0.007822,0.007822
68,3830.72,1.15946,0.6768,1.05127,0.79002,0.80062,0.81349,0.50761,1.34714,0.7601,1.15135,0.007789,0.007789,0.007789
69,3888.19,1.15287,0.65849,1.04896,0.80227,0.78313,0.83186,0.52656,1.32429,0.73806,1.14356,0.007756,0.007756,0.007756
70,3945.64,1.15199,0.65258,1.05312,0.81447,0.77832,0.81966,0.51247,1.33823,0.76503,1.15083,0.007723,0.007723,0.007723
71,4003.38,1.14999,0.65607,1.05695,0.79543,0.80217,0.83482,0.52317,1.32769,0.7316,1.14898,0.00769,0.00769,0.00769
72,4061.16,1.14651,0.64633,1.04208,0.81293,0.79194,0.83899,0.53048,1.32168,0.72879,1.14362,0.007657,0.007657,0.007657
73,4119.39,1.15152,0.65918,1.04723,0.81549,0.77991,0.8268,0.52031,1.32811,0.74208,1.15211,0.007624,0.007624,0.007624
74,4177.63,1.14373,0.64747,1.05037,0.82146,0.78961,0.82295,0.52666,1.32044,0.73598,1.14704,0.007591,0.007591,0.007591
75,4251.03,1.13846,0.63404,1.04342,0.82426,0.76969,0.82107,0.52222,1.3216,0.74288,1.14823,0.007558,0.007558,0.007558
76,4306.53,1.12533,0.63106,1.03736,0.82384,0.77532,0.82756,0.52487,1.33411,0.73092,1.15822,0.007525,0.007525,0.007525
77,4363.61,1.1171,0.62039,1.0351,0.81425,0.78521,0.82118,0.52183,1.33419,0.75738,1.15172,0.007492,0.007492,0.007492
78,4420.22,1.12303,0.62351,1.0373,0.83256,0.78346,0.83549,0.5264,1.32588,0.73399,1.15651,0.007459,0.007459,0.007459
79,4477.8,1.12456,0.61973,1.03905,0.81306,0.77508,0.81739,0.52244,1.32925,0.74331,1.15609,0.007426,0.007426,0.007426
80,4534.69,1.10918,0.61579,1.03185,0.80005,0.78934,0.81931,0.52201,1.33721,0.74871,1.169,0.007393,0.007393,0.007393
81,4592.47,1.12382,0.62819,1.04541,0.81692,0.7824,0.82862,0.52875,1.32604,0.74088,1.159,0.00736,0.00736,0.00736
82,4649.47,1.11702,0.625,1.03509,0.81188,0.79842,0.8303,0.52651,1.32308,0.728,1.15204,0.007327,0.007327,0.007327
83,4706.78,1.12763,0.62103,1.03466,0.81881,0.78877,0.82514,0.52519,1.32561,0.73058,1.15498,0.007294,0.007294,0.007294
84,4763.64,1.10033,0.60205,1.02642,0.80479,0.8003,0.82809,0.52625,1.33549,0.74352,1.16438,0.007261,0.007261,0.007261
85,4821.2,1.10356,0.61312,1.03289,0.80063,0.79998,0.81474,0.52258,1.33568,0.7532,1.1601,0.007228,0.007228,0.007228
86,4878.41,1.11363,0.61544,1.03442,0.80318,0.78363,0.81144,0.51265,1.35069,0.75791,1.16825,0.007195,0.007195,0.007195
87,5029.58,1.1055,0.60075,1.02964,0.80426,0.80005,0.82595,0.52592,1.33949,0.73948,1.16402,0.007162,0.007162,0.007162
88,5078.02,1.09132,0.59951,1.02627,0.81368,0.79502,0.82622,0.52163,1.35329,0.73298,1.1714,0.007129,0.007129,0.007129
89,5128.32,1.09445,0.59003,1.02565,0.80616,0.79002,0.82048,0.52134,1.34562,0.73896,1.1609,0.007096,0.007096,0.007096
90,5180.97,1.10132,0.59843,1.02474,0.82357,0.78662,0.82565,0.52842,1.33429,0.72791,1.15939,0.007063,0.007063,0.007063
91,5235.78,1.08511,0.59275,1.02499,0.77764,0.80292,0.81931,0.51962,1.34535,0.74879,1.1703,0.00703,0.00703,0.00703
92,5291.64,1.09877,0.59139,1.02422,0.81734,0.77942,0.8223,0.5213,1.34203,0.7445,1.16681,0.006997,0.006997,0.006997
93,5348.88,1.06812,0.58603,1.00964,0.82063,0.78635,0.8295,0.52938,1.34498,0.73201,1.16566,0.006964,0.006964,0.006964
94,5405.18,1.07736,0.58497,1.02367,0.80131,0.79715,0.82695,0.52571,1.34915,0.73009,1.18248,0.006931,0.006931,0.006931
95,5462.11,1.07167,0.58486,1.01935,0.80768,0.81037,0.82632,0.52352,1.34932,0.72621,1.17089,0.006898,0.006898,0.006898
96,5518.91,1.08207,0.58078,1.01968,0.80053,0.80503,0.82607,0.52364,1.35156,0.72947,1.17982,0.006865,0.006865,0.006865
97,5575.62,1.07304,0.58264,1.01762,0.79698,0.79208,0.81653,0.51976,1.34758,0.74981,1.17442,0.006832,0.006832,0.006832
98,5632.44,1.06197,0.56987,1.01102,0.77789,0.80346,0.81604,0.52025,1.36457,0.75375,1.18268,0.006799,0.006799,0.006799
99,5689.43,1.04976,0.56372,1.00462,0.7999,0.80854,0.82082,0.51875,1.35811,0.73667,1.17754,0.006766,0.006766,0.006766
100,5746.91,1.0572,0.57269,1.00817,0.78997,0.79271,0.81818,0.5182,1.34983,0.74826,1.17113,0.006733,0.006733,0.006733
101,5804.57,1.05454,0.55895,1.00813,0.7745,0.8098,0.81404,0.51719,1.35501,0.75312,1.17382,0.0067,0.0067,0.0067
102,5862.67,1.04467,0.5656,1.00885,0.8213,0.78185,0.81416,0.51513,1.35477,0.75035,1.17771,0.006667,0.006667,0.006667
103,5920.45,1.04174,0.5626,1.00735,0.80374,0.79599,0.8175,0.51524,1.35686,0.73834,1.18365,0.006634,0.006634,0.006634
104,5978.72,1.04571,0.55511,1.00603,0.80621,0.79379,0.81783,0.51933,1.35886,0.74789,1.18263,0.006601,0.006601,0.006601
105,6037.13,1.03452,0.5568,1.00064,0.80296,0.79422,0.81826,0.52163,1.35543,0.74199,1.18705,0.006568,0.006568,0.006568
106,6094.68,1.01525,0.53612,0.99356,0.78493,0.79836,0.81521,0.51608,1.35966,0.75082,1.18801,0.006535,0.006535,0.006535
107,6153.09,1.02456,0.54412,0.99291,0.81973,0.77852,0.82264,0.5258,1.35007,0.73957,1.17519,0.006502,0.006502,0.006502
108,6210.69,1.02751,0.54616,0.99946,0.80211,0.80443,0.81935,0.5175,1.36981,0.73714,1.19636,0.006469,0.006469,0.006469
109,6269.35,1.03385,0.54924,0.99963,0.79648,0.78997,0.81465,0.52107,1.35262,0.74419,1.18297,0.006436,0.006436,0.006436
110,6327.63,1.02246,0.54367,0.99844,0.81974,0.77822,0.81206,0.51905,1.35938,0.7539,1.18696,0.006403,0.006403,0.006403
111,6385.94,1.02509,0.53929,0.99435,0.80956,0.78216,0.81248,0.51563,1.36225,0.75302,1.19398,0.00637,0.00637,0.00637
112,6444.35,1.00881,0.53906,0.98974,0.79684,0.80166,0.81349,0.51915,1.36455,0.74396,1.19679,0.006337,0.006337,0.006337
113,6502.54,1.01765,0.53692,0.99344,0.81493,0.7883,0.82309,0.52478,1.36211,0.7303,1.18808,0.006304,0.006304,0.006304
114,6560.48,1.00846,0.54066,0.99534,0.7889,0.81221,0.81272,0.51812,1.37024,0.73377,1.20424,0.006271,0.006271,0.006271
115,6618.55,1.0034,0.53384,0.98553,0.77767,0.80423,0.81263,0.51683,1.36474,0.73353,1.18734,0.006238,0.006238,0.006238
116,6677.11,1.00697,0.5339,0.98657,0.79768,0.80423,0.81357,0.518,1.3652,0.75129,1.19278,0.006205,0.006205,0.006205
117,6736.04,1.00024,0.53494,0.98916,0.79402,0.80251,0.81789,0.5173,1.37416,0.75232,1.20148,0.006172,0.006172,0.006172
118,6794.39,0.99655,0.52419,0.98445,0.80169,0.79525,0.81981,0.52153,1.36475,0.75237,1.1933,0.006139,0.006139,0.006139
119,6852.45,0.9833,0.51537,0.98315,0.81734,0.78068,0.81435,0.51937,1.36104,0.74819,1.19427,0.006106,0.006106,0.006106
120,6911.18,0.99475,0.51955,0.98519,0.78561,0.80033,0.81208,0.51495,1.36645,0.74991,1.19779,0.006073,0.006073,0.006073
121,6969.91,0.98122,0.52055,0.98459,0.80004,0.7861,0.80654,0.51372,1.36799,0.75551,1.203,0.00604,0.00604,0.00604
122,7028.98,0.97839,0.51679,0.97427,0.81489,0.78299,0.81042,0.51438,1.36629,0.76054,1.19351,0.006007,0.006007,0.006007
123,7087.14,0.97394,0.51878,0.9787,0.79091,0.79734,0.80464,0.51049,1.36335,0.75251,1.19701,0.005974,0.005974,0.005974
